Window,Throughput_bits,Throughput_Mbps,Avg_HoL_Delay_s,Dropped
1,758078,1.51616,0.00043662,0
2,791271,1.58254,0.000502058,0
3,849418,1.69884,0.00045679,0
4,843695,1.68739,0.000479508,0
5,745302,1.4906,0.000627273,0
6,779697,1.55939,0.000598214,0
7,771620,1.54324,0.00033945,0
8,756382,1.51276,0.000257919,0
9,952129,1.90426,0.000339416,0
10,900640,1.80128,0.000257028,0
11,837529,1.67506,0.000588983,0
12,758123,1.51625,0.00283871,0
13,828286,1.65657,0.000214286,0
14,838432,1.67686,0.000319149,0
15,767830,1.53566,0.000540773,0
16,867705,1.73541,0.000437751,0
17,915215,1.83043,0.000478599,0
18,846911,1.69382,0.000895397,0
19,891384,1.78277,0.00042126,0
20,824171,1.64834,0.000304527,0
21,865591,1.73118,0.000304,0
22,787779,1.57556,0.000410256,0
23,867313,1.73463,0.000582031,0
24,856190,1.71238,0.000464286,0
25,853134,1.70627,0.000407563,0
26,809279,1.61856,0.000358744,0
27,870218,1.74044,0.000521236,0
28,899002,1.798,0.0003861,0
29,938271,1.87654,0.000579767,0
30,800750,1.6015,0.000333333,0
31,846910,1.69382,0.000470833,0
32,804840,1.60968,0.000527426,0
33,780482,1.56096,0.000435556,0
34,801498,1.603,0.000348018,0
35,948663,1.89733,0.0006,0
36,850175,1.70035,0.000596838,0
37,820059,1.64012,0.00044958,0
38,758889,1.51778,0.000211009,0
39,890627,1.78125,0.000508,0
40,890277,1.78055,0.000714286,0
41,795141,1.59028,0.0136567,0
42,814460,1.62892,0.000663677,0
43,863084,1.72617,0.000557692,0
44,986862,1.97372,0.000325088,0
45,801009,1.60202,0.000528634,0
46,874439,1.74888,0.000462745,0
47,839914,1.67983,0.000574899,0
48,824920,1.64984,0.000265306,0
49,757274,1.51455,0.000412556,0
50,868109,1.73622,0.000704453,0
51,822146,1.64429,0.000523404,0
52,702892,1.40578,0.000733645,0
53,866647,1.73329,0.000604082,0
54,733394,1.46679,0.000306977,0
55,735053,1.47011,0.000597087,0
56,778897,1.55779,0.000371795,0
57,787443,1.57489,0.00046696,0
58,879353,1.75871,0.000408907,0
59,929873,1.85975,0.000315985,0
60,782706,1.56541,0.0110446,0
61,905993,1.81199,0.0018189,0
62,791080,1.58216,0.000586498,0
63,771614,1.54323,0.000432314,0
64,831530,1.66306,0.000512605,0
65,775906,1.55181,0.000524229,0
66,872684,1.74537,0.000491935,0
67,775728,1.55146,0.000573394,0
68,784728,1.56946,0.000418803,0
69,817889,1.63578,0.000479508,0
70,839431,1.67886,0.000242291,0
71,818763,1.63753,0.000633333,0
72,859965,1.71993,0.000528455,0
73,842702,1.6854,0.000512821,0
74,717714,1.43543,0.000357798,0
75,752146,1.50429,0.00037788,0
76,841823,1.68365,0.000538462,0
77,772461,1.54492,0.00038961,0
78,868565,1.73713,0.000412955,0
79,870762,1.74152,0.000435685,0
80,774038,1.54808,0.000454955,0
81,879898,1.7598,0.000327801,0
82,839459,1.67892,0.000337607,0
83,720487,1.44097,0.000461905,0
84,850746,1.70149,0.000598361,0
85,895560,1.79112,0.000294355,0
86,793233,1.58647,0.000504505,0
87,836714,1.67343,0.0003375,0
88,822077,1.64415,0.000439331,0
89,832982,1.66596,0.000395918,0
90,764237,1.52847,0.000611872,0
91,767814,1.53563,0.000358744,0
92,780531,1.56106,0.000284483,0
93,869685,1.73937,0.000596774,0
94,916246,1.83249,0.000412,0
95,665269,1.33054,0.000351485,0
96,832504,1.66501,0.000387931,0
97,861673,1.72335,0.000345992,0
98,777238,1.55448,0.000287037,0
99,836008,1.67202,0.000947368,0
100,750620,1.50124,0.000456311,0
101,797469,1.59494,0.000545455,0
102,787985,1.57597,0.00054386,0
103,879218,1.75844,0.00267068,0
104,895109,1.79022,0.000347826,0
105,803224,1.60645,0.000307692,0
106,887185,1.77437,0.000478431,0
107,886810,1.77362,0.000430279,0
108,909323,1.81865,0.000368217,0
109,759899,1.5198,0.000675799,0
110,860255,1.72051,0.000404,0
111,820009,1.64002,0.000476596,0
112,841489,1.68298,0.000395257,0
113,912491,1.82498,0.00260456,0
114,827620,1.65524,0.000419355,0
115,796882,1.59376,0.000295652,0
116,891499,1.783,0.00059375,0
117,865666,1.73133,0.000475806,0
118,972231,1.94446,0.000496269,0
119,833565,1.66713,0.000710744,0
120,831205,1.66241,0.000367089,0
121,867157,1.73431,0.000495968,0
122,825165,1.65033,0.000578313,0
123,846407,1.69281,0.000376033,0
124,873640,1.74728,0.000569672,0
125,836787,1.67357,0.000526749,0
126,894277,1.78855,0.000429134,0
127,786785,1.57357,0.000364444,0
128,751033,1.50207,0.000359447,0
129,886940,1.77388,0.000496032,0
130,814624,1.62925,0.000364407,0
131,863853,1.72771,0.000420408,0
132,901526,1.80305,0.000429134,0
133,974343,1.94869,0.000485075,0
134,831081,1.66216,0.00049345,0
135,761229,1.52246,0.000392857,0
136,781210,1.56242,0.000574468,0
137,900399,1.8008,0.000379447,0
138,802130,1.60426,0.000515695,0
139,741182,1.48236,0.0114804,0
140,966569,1.93314,0.000660517,0
141,849270,1.69854,0.000460581,0
142,884588,1.76918,0.000366795,0
143,814075,1.62815,0.000445887,0
144,742691,1.48538,0.000433962,0
145,780686,1.56137,0.000521552,0
146,747232,1.49446,0.000325688,0
147,857322,1.71464,0.000620253,0
148,749037,1.49807,0.000322727,0
149,825481,1.65096,0.000331878,0
150,840751,1.6815,0.000485106,0
151,847375,1.69475,0.00027686,0
152,765947,1.53189,0.000447964,0
153,781636,1.56327,0.000314894,0
154,809856,1.61971,0.000370833,0
155,864037,1.72807,0.000465021,0
156,810052,1.6201,0.000447368,0
157,840594,1.68119,0.00242739,0
158,807721,1.61544,0.000333333,0
159,738654,1.47731,0.000264574,0
160,860530,1.72106,0.000532787,0
161,746166,1.49233,0.000710407,0
162,876494,1.75299,0.0121008,0
163,969794,1.93959,0.000422383,0
164,807587,1.61517,0.000324561,0
165,925591,1.85118,0.000562738,0
166,917292,1.83458,0.000304688,0
167,849570,1.69914,0.000411017,0
168,770173,1.54035,0.000410714,0
169,748250,1.4965,0.000433036,0
170,795174,1.59035,0.000391111,0
171,758562,1.51712,0.000484444,0
172,908292,1.81658,0.000471042,0
173,890953,1.78191,0.000591603,0
174,983095,1.96619,0.000448029,0
175,801384,1.60277,0.00036036,0
176,899054,1.79811,0.000363636,0
177,902600,1.8052,0.000361217,0
178,932740,1.86548,0.000503846,0
179,762028,1.52406,0.000400922,0
180,772339,1.54468,0.000301802,0
181,840194,1.68039,0.000539749,0
182,820091,1.64018,0.000409836,0
183,898810,1.79762,0.000365079,0
184,878230,1.75646,0.000533865,0
185,803213,1.60643,0.000706422,0
186,841091,1.68218,0.000282258,0
187,864291,1.72858,0.000485714,0
188,787048,1.5741,0.000491379,0
189,796612,1.59322,0.000627615,0
190,856519,1.71304,0.000442149,0
191,744304,1.48861,0.000690909,0
192,823890,1.64778,0.00038843,0
193,737139,1.47428,0.0004,0
