Window,Throughput (bits),Avg HoL Delay (s),Dropped
1,22827,0.000434783,0
2,30180,0.00325926,0
3,32366,0.00166102,0
4,30183,0.000818182,0
5,25384,0.000673077,0
6,30449,0.00213636,0
7,34158,0.00115942,0
8,27153,0.00256364,0
9,25897,0.00255556,0
10,25733,0.0028,0
11,23716,0.000625,0
12,37818,0.00274242,0
13,27992,0.00293548,0
14,34920,0.0012381,0
15,26407,0.00249123,0
16,31972,0.00279365,0
17,40436,0.00427273,0
18,31068,0.00270313,0
19,35149,0.00263889,0
20,29114,0.000875,0
21,39116,0.00307692,0
22,36345,0.00114706,0
23,29656,0.00162121,0
24,32693,0.00166667,0
25,28767,0.00262069,0
26,31072,0.00213636,0
27,30511,0.00122951,0
28,26522,0.00103704,0
29,26734,0.00278947,0
30,22761,0.00251852,0
31,36357,0.00218841,0
32,30655,0.00206557,0
33,24407,0.00293878,0
34,28253,0.00291667,0
35,36223,0.000890625,0
36,28646,0.00171698,0
37,22674,0.00244186,0
38,32309,0.00124194,0
39,35589,0.00283333,0
40,34750,0.0025082,0
41,30812,0.00331579,0
42,32088,0.00190769,0
43,25478,0.00226923,0
44,31154,0.0022,0
45,32538,0.00218462,0
46,36241,0.00216667,0
47,40596,0.00181944,0
48,33083,0.00213846,0
49,29670,0.00131579,0
50,29233,0.00346032,0
51,32122,0.0030597,0
52,23768,0.00111111,0
53,25082,0.00202041,0
54,33977,0.00454839,0
55,29753,0.00108772,0
56,20610,0.00206383,0
57,32072,0.0048,0
58,25952,0.00214286,0
59,29771,0.00165,0
60,30055,0.00114286,0
61,29621,0.00250909,0
62,21107,0.00285366,0
63,28568,0.00204478,0
64,38997,0.00165385,0
65,34946,0.00215385,0
66,33198,0.00174194,0
67,26817,0.0015,0
68,28537,0.0017963,0
69,24074,0.00194545,0
70,29350,0.00216949,0
71,29702,0.00106557,0
72,28622,0.00198305,0
73,31051,0.00340984,0
74,36636,0.00225758,0
75,29830,0.00312698,0
76,30543,0.00140984,0
77,31866,0.00367241,0
78,29315,0.00253704,0
79,26905,0.00475926,0
80,33856,0.00217391,0
81,20748,0.00302326,0
82,30630,0.00412903,0
83,30722,0.00319298,0
84,23346,0.00236,0
85,28616,0.00178571,0
86,25164,0.000422222,0
87,31494,0.00287097,0
88,25388,0.00330769,0
89,34514,0.00295588,0
90,26914,0.0018125,0
91,27014,0.00208621,0
92,35822,0.00187879,0
93,28427,0.000701754,0
94,32049,0.000741935,0
95,25359,0.00169643,0
96,28987,0.00176271,0
97,25091,0.00328571,0
98,33054,0.00231034,0
99,33854,0.00165574,0
100,31418,0.00206557,0
101,39711,0.00240541,0
102,32926,0.00136207,0
103,35666,0.00270313,0
104,21796,0.00211538,0
105,32096,0.00253125,0
106,31646,0.000983871,0
107,28896,0.00250877,0
108,33622,0.00197143,0
109,27511,0.00194545,0
110,27433,0.000603774,0
111,36735,0.0034,0
112,22210,0.00101887,0
113,28634,0.00181356,0
114,35017,0.0013913,0
115,28114,0.00259322,0
116,29250,0.00107547,0
117,33424,0.00207813,0
118,25901,0.00355556,0
119,28975,0.00149153,0
120,27448,0.00226786,0
121,29637,0.00149153,0
122,32650,0.00330769,0
123,28874,0.0017931,0
124,33899,0.0016875,0
125,33580,0.00349275,0
126,33211,0.00170588,0
127,34917,0.00531884,0
128,37110,0.003,0
129,31001,0.00164286,0
130,26529,0.0024717,0
131,28098,0.000910714,0
132,32133,0.00101471,0
133,28972,0.00333898,0
134,33635,0.000507692,0
135,24185,0.00136,0
136,27958,0.00333333,0
137,23911,0.00192,0
138,32976,0.00124286,0
139,30469,0.00236842,0
140,33514,0.000901639,0
141,25053,0.00128571,0
142,32610,0.00360317,0
143,30813,0.00393548,0
144,28640,0.00539286,0
145,29751,0.00105455,0
146,23725,0.00184906,0
147,28775,0.00249153,0
148,31309,0.00238806,0
149,24897,0.00217391,0
150,30185,0.002375,0
151,34118,0.000690141,0
152,32114,0.00275758,0
153,36348,0.00153731,0
154,37305,0.00302703,0
155,27577,0.00307843,0
156,27574,0.00103571,0
157,34619,0.00122059,0
158,29790,0.00248333,0
159,30972,0.00225397,0
160,23357,0.00223913,0
161,29241,0.00155357,0
162,34568,0.00242029,0
163,31563,0.0014902,0
164,29968,0.00252459,0
165,39606,0.00254795,0
166,28914,0.00095,0
167,27950,0.000754717,0
168,28070,0.00317857,0
169,26414,0.00298246,0
170,23308,0.000941176,0
171,31256,0.00218333,0
172,33437,0.00147368,0
173,25894,0.00106122,0
174,34531,0.00210959,0
175,33399,0.00146296,0
176,23434,0.00154545,0
177,32732,0.00311864,0
178,34739,0.00244595,0
179,24868,0.00205556,0
180,35997,0.00117188,0
181,29824,0.00160345,0
182,32434,0.0042,0
183,31086,0.00332203,0
184,32524,0.00116393,0
185,34690,0.000772727,0
186,29957,0.00227273,0
187,25803,0.00485185,0
188,34598,0.00136111,0
189,27047,0.00223636,0
190,36298,0.00180556,0
191,31829,0.00179104,0
192,35858,0.00182813,0
193,35763,0.00129231,0
194,27945,0.00232787,0
195,35667,0.00152239,0
196,38156,0.00568354,0
197,37965,0.0010597,0
198,32256,0.00285938,0
199,31359,0.0017619,0
200,32421,0.00196721,0
201,30841,0.00103636,0
202,33447,0.00207246,0
203,25122,0.00162264,0
204,36268,0.00222951,0
205,32214,0.000803571,0
206,39262,0.00208974,0
207,28448,0.00131481,0
208,29946,0.00218333,0
209,33210,0.00309459,0
210,40384,0.00133333,0
211,26597,0.00312281,0
212,24591,0.00193617,0
213,37532,0.00154839,0
214,26857,0.00137037,0
215,28458,0.00290385,0
216,32897,0.00266154,0
217,27761,0.00231579,0
218,33029,0.00253226,0
219,24085,0.00162222,0
220,22755,0.0008125,0
221,21219,0.00293023,0
222,29342,0.003,0
223,33841,0.00286154,0
224,25798,0.00317308,0
225,30083,0.00146774,0
226,29211,0.00159649,0
227,43059,0.00187324,0
228,22439,0.00232727,0
229,30869,0.00208772,0
230,34253,0.00144,0
231,25642,0.0016,0
232,28819,0.00211667,0
233,25325,0.0044898,0
234,33088,0.00152381,0
235,29406,0.00273684,0
236,31817,0.00177966,0
237,31188,0.00148276,0
238,25201,0.00164,0
239,25451,0.00108,0
240,28576,0.00194444,0
241,26924,0.00360784,0
242,21137,0.0025,0
243,34382,0.00146377,0
244,33319,0.00272059,0
245,42394,0.00253247,0
246,31297,0.00244262,0
247,32072,0.00180952,0
248,30160,0.002625,0
249,29604,0.000473684,0
250,32695,0.00133333,0
251,27000,0.00116071,0
252,33343,0.00183582,0
253,37904,0.00197059,0
254,30338,0.00181034,0
255,25674,0.00301724,0
256,33036,0.00253846,0
257,25752,0.00338889,0
258,24725,0.00282143,0
259,27474,0.00109615,0
260,41845,0.00241975,0
261,27808,0.00232143,0
262,43696,0.00250649,0
263,32764,0.00135821,0
264,35569,0.00330159,0
265,33245,0.00059375,0
266,34766,0.00198507,0
267,30419,0.000963636,0
268,29825,0.00169355,0
269,32889,0.000956522,0
270,37992,0.00333766,0
271,32716,0.00135294,0
272,28324,0.0045,0
273,25982,0.00215094,0
274,33487,0.00111667,0
275,34376,0.00241791,0
276,29391,0.000981132,0
277,31501,0.00341176,0
278,38477,0.00125333,0
279,37050,0.00146154,0
280,29931,0.00233333,0
281,34230,0.00107463,0
282,25260,0.00234694,0
283,34730,0.00287879,0
284,26008,0.00125,0
285,24242,0.00224444,0
286,30865,0.00278333,0
287,32598,0.00260656,0
288,31468,0.00125,0
289,33954,0.00120588,0
290,32382,0.00264706,0
291,35514,0.00196,0
292,27710,0.00117857,0
293,25261,0.00188679,0
294,40294,0.00359211,0
295,22941,0.00101887,0
296,24498,0.00225926,0
297,26112,0.0015625,0
298,34558,0.00128571,0
299,38323,0.00124324,0
300,37209,0.0036,0
301,25999,0.00109434,0
302,29449,0.00233333,0
303,34323,0.00250667,0
304,34871,0.00165714,0
305,35314,0.000545455,0
306,34188,0.0012931,0
307,35119,0.0022027,0
308,34844,0.00315385,0
309,35871,0.00155882,0
310,28157,0.00168333,0
311,31356,0.00172581,0
312,25430,0.00136538,0
313,27045,0.00228,0
314,27151,0.00384375,0
315,41942,0.00214474,0
316,35772,0.00144444,0
317,28693,0.00135849,0
318,30242,0.00252542,0
319,25734,0.00208772,0
320,30418,0.00221311,0
321,26410,0.00296296,0
322,37200,0.0013038,0
323,25907,0.00154717,0
324,31605,0.00208955,0
325,28137,0.00138596,0
326,30114,0.00228125,0
327,33313,0.000921875,0
328,39514,0.00201515,0
329,24849,0.00168,0
330,24701,0.0028,0
331,31409,0.00219672,0
332,30368,0.001375,0
333,40826,0.00274684,0
334,31595,0.000709677,0
335,33443,0.00247761,0
336,34546,0.00227273,0
337,22433,0.00118182,0
338,36681,0.00243243,0
339,32545,0.00267164,0
340,31269,0.00351667,0
341,31220,0.00104839,0
342,31281,0.00214754,0
343,30332,0.00109524,0
344,35373,0.00163077,0
345,34461,0.00231429,0
346,31313,0.00262069,0
347,26157,0.00249091,0
348,30045,0.00121311,0
349,31979,0.00141538,0
350,31809,0.00210606,0
351,32807,0.00301613,0
352,34101,0.00183582,0
353,24070,0.0024,0
354,30790,0.00257377,0
355,33259,0.00266071,0
356,30131,0.00145455,0
357,30080,0.00206349,0
358,31501,0.00211864,0
359,36403,0.00249315,0
360,37518,0.00327941,0
361,29092,0.00218644,0
362,42341,0.00261446,0
363,31333,0.00168333,0
364,32139,0.00332759,0
365,34237,0.00194118,0
366,28491,0.00169643,0
367,30337,0.00312963,0
368,33230,0.00343284,0
369,25952,0.00328,0
370,26760,0.000679245,0
371,31024,0.00256338,0
372,36687,0.00141791,0
373,25535,0.00235185,0
374,28491,0.00143548,0
375,30048,0.0026,0
376,31466,0.00104839,0
377,27979,0.00196429,0
378,30474,0.000518519,0
379,32465,0.00287302,0
380,32063,0.00415385,0
381,30678,0.00246667,0
382,27356,0.00279167,0
383,32350,0.00222222,0
384,39158,0.000972603,0
385,30771,0.00224194,0
386,29714,0.0019,0
387,37162,0.00139726,0
388,34386,0.0024507,0
389,31375,0.00248214,0
390,34991,0.00131746,0
391,34706,0.00236842,0
392,24278,0.00234884,0
393,25833,0.00139623,0
394,35059,0.00145455,0
395,29147,0.00190625,0
396,42639,0.000987654,0
397,29666,0.00382143,0
398,27832,0.00429091,0
399,26805,0.00218868,0
400,41233,0.00207042,0
401,33489,0.00178689,0
402,26632,0.0024,0
403,25060,0.00169811,0
404,31384,0.00157576,0
405,30005,0.0013,0
406,33031,0.00072,0
407,30368,0.00177049,0
408,18655,0.00241026,0
409,35748,0.00127027,0
410,27538,0.00243939,0
411,24988,0.00130435,0
412,18224,0.00128261,0
413,30665,0.00274194,0
414,28046,0.000836364,0
415,27703,0.00208333,0
416,29871,0.00186207,0
417,22903,0.000608696,0
418,22238,0.00109302,0
419,36238,0.00173529,0
420,37927,0.00389231,0
421,32040,0.00191935,0
422,38225,0.00227273,0
423,28607,0.00345161,0
424,29145,0.00143333,0
425,32735,0.00172581,0
426,30117,0.00265152,0
427,29992,0.00292308,0
428,28972,0.0020566,0
429,28057,0.00354386,0
430,30658,0.00217241,0
431,34331,0.002,0
432,25809,0.00316364,0
433,31521,0.0028871,0
434,31094,0.00208065,0
435,24039,0.002875,0
436,27365,0.00126923,0
437,35135,0.00218182,0
438,27751,0.00236508,0
439,37157,0.00116667,0
440,32492,0.00233846,0
441,35791,0.00250746,0
442,25891,0.0020597,0
