Window,Throughput (bits),Avg HoL Delay (s),Dropped
1,2.30584e+06,0.00105127,0
2,1.16357e+06,0.0223876,0
3,1.38664e+06,0.101316,89
4,1.34455e+06,0.270665,1390
5,1.33534e+06,0.415689,1492
6,1.20056e+06,0.671783,1926
7,1.31428e+06,1.25443,1538
8,1.3438e+06,1.09892,1562
9,1.31429e+06,1.55701,1745
10,1.29284e+06,1.23666,2279
11,1.26386e+06,1.6765,2169
12,1.28769e+06,1.64597,1879
13,1.2473e+06,1.52132,2322
14,1.30226e+06,1.60707,2439
15,1.25281e+06,1.70722,2153
16,1.22995e+06,1.55375,2388
17,1.23208e+06,1.4423,2560
18,1.29557e+06,1.30829,2521
19,1.2353e+06,1.30044,2514
20,1.31456e+06,1.6691,2225
21,1.35345e+06,1.38826,2382
22,1.22074e+06,1.45078,2429
23,1.297e+06,1.32205,2517
24,1.30765e+06,1.6095,2374
25,1.22454e+06,1.66932,2151
26,1.22711e+06,1.35905,2345
27,1.29199e+06,1.17455,2343
28,1.26038e+06,1.5193,2144
29,1.32841e+06,1.19134,2420
30,1.27108e+06,1.73368,2269
31,1.1863e+06,1.54237,2447
32,1.25055e+06,0.864913,2401
33,1.2817e+06,1.24067,2294
34,1.20179e+06,1.25326,2171
35,1.26007e+06,1.11758,2321
36,1.25898e+06,0.770723,2430
37,1.26965e+06,1.52193,2554
38,1.28534e+06,0.946824,2559
39,1.30335e+06,0.905837,2521
40,1.23238e+06,2.52688,1952
41,1.28407e+06,2.06874,2242
42,1.27055e+06,0.903059,2344
43,1.28374e+06,1.77744,2393
44,1.23896e+06,1.31504,2544
45,1.2758e+06,0.49109,2542
46,1.27501e+06,0.397654,2583
47,1.25376e+06,0.940039,2505
48,1.27432e+06,2.05024,2000
49,1.3047e+06,1.97631,1977
50,1.3584e+06,0.564259,2195
51,1.24902e+06,0.629692,2299
52,1.18067e+06,0.70591,2414
53,1.23894e+06,0.680448,2425
54,1.33826e+06,1.15305,2290
55,1.32952e+06,1.06336,2244
56,1.19652e+06,0.612605,2339
57,1.2354e+06,0.483411,2354
58,1.24942e+06,0.464832,2598
59,1.23284e+06,0.992474,2358
60,1.21721e+06,2.21651,2147
61,1.23501e+06,1.68224,2233
62,1.37257e+06,1.02531,2301
63,1.36968e+06,1.52128,2152
64,1.20602e+06,0.664229,2321
65,1.36172e+06,1.33679,2300
66,1.3709e+06,3.66892,1923
67,1.34672e+06,1.0387,2160
68,1.25949e+06,1.25781,2319
69,1.29598e+06,0.937417,2076
